inst,start,L0,L_final,improve_pct,basin_id
3,113,5.215274,2.500884,52.0469,0
3,114,3.416242,2.500884,26.7943,0
3,115,6.011005,2.500884,58.3949,0
3,116,6.888088,2.500884,63.6926,0
3,117,7.038916,2.620385,62.7729,2
3,118,6.338640,2.500884,60.5454,0
3,119,5.548768,2.500884,54.9290,0
3,120,5.732805,2.500884,56.3759,0
3,121,5.811316,2.500884,56.9653,0
3,122,6.495626,2.500884,61.4990,0
3,123,6.133919,2.500884,59.2286,0
3,124,5.890334,2.530307,57.0431,1
3,125,7.359861,2.500884,66.0200,0
3,126,6.353428,2.500884,60.6373,0
3,127,5.151574,2.500884,51.4540,0
3,128,6.837322,2.500884,63.4231,0
3,129,4.827981,2.500884,48.2002,0
3,130,7.144768,2.500884,64.9970,0
3,131,6.908788,2.530307,63.3755,1
3,132,5.129790,2.530307,50.6743,1
3,133,5.028320,2.500884,50.2640,0
3,134,6.351192,2.500884,60.6234,0
3,135,3.518770,2.500884,28.9273,0
3,136,6.087882,2.500884,58.9203,0
3,137,5.786075,2.500884,56.7775,0
3,138,5.697926,2.500884,56.1089,0
3,139,5.385500,2.500884,53.5626,0
3,140,4.480471,2.500884,44.1826,0
3,141,6.041227,2.500884,58.6030,0
3,142,5.814068,2.500884,56.9856,0
3,143,7.327758,2.500884,65.8711,0
3,144,6.663615,2.620385,60.6762,2
3,145,6.794464,2.500884,63.1923,0
3,146,5.898869,2.500884,57.6040,0
3,147,6.768169,2.500884,63.0493,0
3,148,4.518863,2.500884,44.6568,0
3,149,5.150912,2.500884,51.4478,0
4,0,7.064880,3.336819,52.7689,0
4,1,6.105423,3.336819,45.3466,0
4,2,6.669813,3.336819,49.9713,0
4,3,7.723723,3.336819,56.7978,0
4,4,6.284364,3.397419,45.9385,1
4,5,7.626659,3.397419,55.4534,1
4,6,6.250460,3.336819,46.6148,0
4,7,7.417168,3.336819,55.0122,0
4,8,7.488521,3.336819,55.4409,0
4,9,7.814601,3.561009,54.4313,2
4,10,6.092324,3.336819,45.2291,0
4,11,7.505583,3.336819,55.5422,0
4,12,6.388502,3.336819,47.7684,0
4,13,5.878470,3.336819,43.2366,0
4,14,6.990152,3.336819,52.2640,0
4,15,6.122194,3.336819,45.4964,0
4,16,7.978648,3.336819,58.1781,0
4,17,6.136026,3.336819,45.6192,0
4,18,5.586856,3.397419,39.1891,1
4,19,6.781014,3.561009,47.4856,2
4,20,6.833327,3.336819,51.1685,0
4,21,7.365799,3.336819,54.6985,0
4,22,5.331318,3.336819,37.4110,0
4,23,8.565510,3.397419,60.3361,1
4,24,6.256982,3.397419,45.7019,1
4,25,7.235661,3.336819,53.8837,0
4,26,8.540176,3.336819,60.9280,0
4,27,6.922873,3.336819,51.8001,0
4,28,6.823141,3.336819,51.0956,0
4,29,6.994867,3.336819,52.2962,0
4,30,7.076230,3.336819,52.8447,0
4,31,6.606652,3.397419,48.5758,1
4,32,8.355772,3.561009,57.3827,2
4,33,8.561444,3.336819,61.0250,0
4,34,7.670222,3.336819,56.4965,0
4,35,6.833232,3.336819,51.1678,0
4,36,6.313747,3.336819,47.1499,0
4,37,7.996138,3.336819,58.2696,0
4,38,6.731390,3.336819,50.4290,0
4,39,7.044171,3.336819,52.6301,0
4,40,7.799597,3.397419,56.4411,1
4,41,5.295529,3.336819,36.9880,0
4,42,6.348202,3.336819,47.4368,0
4,43,6.599667,3.336819,49.4396,0
4,44,6.763519,3.336819,50.6645,0
4,45,7.252107,3.336819,53.9883,0
4,46,5.000604,3.336819,33.2717,0
4,47,7.583698,3.336819,56.0001,0
4,48,6.573633,3.336819,49.2394,0
4,49,5.235053,3.336819,36.2601,0
4,50,8.509064,3.336819,60.7851,0
4,51,7.048780,3.336819,52.6610,0
4,52,5.936250,3.336819,43.7891,0
4,53,6.216054,3.557646,42.7668,3
4,54,7.864056,3.336819,57.5687,0
4,55,7.294837,3.336819,54.2578,0
4,56,8.662849,3.336819,61.4813,0
4,57,7.825517,3.336819,57.3598,0
4,58,7.158543,3.336819,53.3869,0
4,59,6.972856,3.336819,52.1456,0
4,60,8.656295,3.336819,61.4521,0
4,61,6.550734,3.336819,49.0619,0
