x,y,f_true,interp
0.537935,-0.671225,0.59814218,0.59814217
-0.501028,0.724149,0.37269764,0.37269764
-0.627842,-0.291027,0.31641054,0.31641054
-0.474135,-0.062496,0.47328972,0.47328973
-0.050492,0.306786,0.87034457,0.87034456
0.903938,0.703601,0.35018503,0.35018502
0.748747,0.088144,0.89649428,0.89649426
0.732323,0.710518,0.45037757,0.45037755
-0.325156,0.893613,0.41441988,0.41441991
0.423021,-0.936435,0.312972,0.31297187
0.526414,0.716863,0.54713579,0.54713578
-0.802452,0.905658,0.25011164,0.25011165
-0.743200,-0.249792,0.23847772,0.23847772
0.854282,-0.650386,0.43090013,0.43090011
0.781506,0.087004,0.85952055,0.85952056
0.245313,-0.794809,0.52876274,0.52876276
-0.773194,0.286539,0.22193385,0.22193387
-0.450074,0.632423,0.41507188,0.41507187
-0.131823,0.537496,0.67191647,0.67191648
-0.736824,-0.275811,0.24199987,0.24199984
-0.554139,0.013108,0.39156973,0.39156975
-0.833716,0.825612,0.22661623,0.22661624
0.848470,0.160430,0.76039294,0.76039293
0.205702,-0.466694,0.88586571,0.88586568
-0.875264,0.775073,0.20503876,0.20503875
0.080201,-0.584042,0.74103267,0.74103266
0.695976,0.192568,0.918136,0.91813599
0.343628,-0.895422,0.38772054,0.38772051
0.625261,0.498254,0.74612743,0.7461274
0.091866,-0.863837,0.47143904,0.47143901
-0.356591,0.208882,0.58972071,0.58972072
0.584053,0.879281,0.32401751,0.32401748
-0.513527,0.391288,0.40333132,0.40333132
0.261253,-0.092737,1.1357562,1.1357562
0.799346,0.805438,0.31435528,0.31435528
-0.629971,0.146441,0.3202515,0.32025147
-0.609188,0.612410,0.31633742,0.31633743
-0.946624,0.362653,0.163304,0.16330385
0.502434,0.383032,0.92768144,0.92768141
-0.386948,-0.319588,0.53554464,0.53554462
-0.176245,-0.551627,0.63354587,0.63354588
0.323228,0.651999,0.68673511,0.68673515
0.742040,-0.881279,0.2599896,0.25998959
0.168662,0.588973,0.75706802,0.75706802
0.181691,-0.839749,0.48707139,0.4870714
-0.254634,0.319554,0.6716607,0.67166067
0.583331,0.379035,0.88628439,0.88628436
0.380468,0.132709,1.1269713,1.1269713
-0.644667,-0.493507,0.29672502,0.29672501
-0.891651,-0.512350,0.18007499,0.18007497
0.271847,-0.811729,0.50463883,0.50463884
-0.757762,0.155071,0.23078315,0.23078315
-0.885710,-0.140436,0.17633777,0.17633776
0.572992,-0.437875,0.83893048,0.83893049
-0.243759,-0.735975,0.49942697,0.49942697
-0.823309,0.494216,0.20295565,0.20295562
-0.195821,0.587846,0.60046479,0.60046481
-0.412946,0.321223,0.5089178,0.50891779
0.814533,0.063809,0.82366437,0.82366435
0.803141,-0.637377,0.47980743,0.47980744
-0.593542,0.456700,0.3333641,0.33336413
0.146543,0.337622,0.97623856,0.97623854
-0.170826,-0.565739,0.62914364,0.62914365
-0.587040,-0.379625,0.34343127,0.34343125
-0.314743,-0.907512,0.413004,0.413004
0.929080,-0.132607,0.66285016,0.66285014
0.507686,-0.022234,1.1063466,1.1063465
-0.664907,0.344286,0.28712291,0.2871229
-0.093120,0.623211,0.63724157,0.63724157
0.090074,-0.525723,0.79808574,0.79808569
-0.745400,0.677151,0.2471934,0.2471934
0.488237,0.276574,1.0187361,1.018736
-0.536377,0.806085,0.3508716,0.35087162
-0.541232,0.601996,0.35928305,0.35928305
0.048894,-0.141495,1.0191371,1.0191371
0.205802,0.708623,0.63025192,0.63025194
0.569218,0.091853,1.058633,1.058633
0.818827,-0.908487,0.20402045,0.20402043
0.045656,0.482413,0.81647819,0.81647818
0.827355,-0.797408,0.30856997,0.30856998
-0.439107,-0.696737,0.4104775,0.41047751
0.213044,0.078356,1.1257373,1.1257373
0.369565,-0.156962,1.1193239,1.1193239
0.590489,-0.413643,0.85088762,0.85088762
0.668765,0.467316,0.74606418,0.74606415
-0.000609,-0.243220,0.94207729,0.94207726
0.203492,0.811430,0.515423,0.51542301
0.478295,0.798908,0.46331205,0.46331206
-0.557128,0.407173,0.36512906,0.36512905
0.844866,0.735447,0.35850133,0.35850131
0.849426,0.673455,0.41333576,0.41333577
0.695975,-0.898801,0.25843372,0.25843372
-0.825649,-0.820984,0.22912859,0.22912859
-0.615176,0.499716,0.31598809,0.31598809
-0.259937,0.519345,0.58792004,0.58792007
0.531669,0.044536,1.0910147,1.0910147
-0.564458,-0.581755,0.3455915,0.34559149
-0.197490,-0.720703,0.52730894,0.5273089
0.266396,-0.379764,0.97404773,0.97404771
-0.454997,0.488861,0.43777306,0.43777307
-0.051633,0.787362,0.52965414,0.52965414
0.555364,-0.861697,0.35639908,0.35639908
-0.099621,0.649561,0.61558326,0.61558324
0.880701,0.880534,0.20803819,0.20803819
0.783453,-0.073568,0.85953735,0.85953738
0.226678,0.836280,0.48431102,0.48431102
0.780299,-0.111545,0.85574994,0.85574993
-0.068776,-0.425268,0.78744174,0.78744175
-0.212664,-0.441645,0.66214843,0.66214841
0.468936,0.208501,1.0685834,1.0685834
0.798916,-0.284370,0.76498211,0.76498211
-0.841360,0.924396,0.23766965,0.23766965
-0.494838,0.155877,0.44625812,0.44625809
0.791658,-0.367506,0.72029882,0.7202988
0.838332,-0.154800,0.77464786,0.77464786
0.240029,-0.649028,0.69692452,0.69692451
0.275613,0.684145,0.65448202,0.65448203
0.041428,-0.753750,0.5732935,0.57329352
0.594701,-0.351682,0.90161388,0.90161388
0.122309,0.851437,0.4811843,0.48118429
-0.284543,-0.587404,0.54087074,0.54087074
-0.844431,0.666211,0.20546909,0.20546911
0.125167,-0.844567,0.48785763,0.48785761
0.095180,0.693687,0.63858741,0.63858739
0.579520,0.213736,1.0048227,1.0048227
-0.461412,-0.655765,0.40397749,0.40397747
0.206237,-0.514548,0.83912815,0.83912813
0.214475,0.170456,1.0981443,1.0981442
-0.771076,-0.508156,0.22616693,0.2261669
0.185466,-0.753305,0.58116005,0.58116005
