seed,algo,gen,igd
0,nsga2,11,1.58445
0,nsga2,12,1.42557
0,nsga2,13,1.42484
0,nsga2,14,1.39362
0,nsga2,15,1.39123
0,nsga2,16,1.34827
0,nsga2,17,1.25519
0,nsga2,18,1.13084
0,nsga2,19,1.13037
0,nsga2,20,1.13037
0,nsga2,21,1.12606
0,nsga2,22,1.12606
0,nsga2,23,1.06934
0,nsga2,24,0.979181
0,nsga2,25,0.915473
0,nsga2,26,0.895576
0,nsga2,27,0.861916
0,nsga2,28,0.86184
0,nsga2,29,0.843554
0,nsga2,30,0.829496
0,nsga2,31,0.723219
0,nsga2,32,0.722441
0,nsga2,33,0.722148
0,nsga2,34,0.722148
0,nsga2,35,0.720884
0,nsga2,36,0.716879
0,nsga2,37,0.714294
0,nsga2,38,0.713423
0,nsga2,39,0.70789
0,nsga2,40,0.706736
0,nsga2,41,0.675235
0,nsga2,42,0.655092
0,nsga2,43,0.62795
0,nsga2,44,0.58916
0,nsga2,45,0.575874
0,nsga2,46,0.571585
0,nsga2,47,0.558335
0,nsga2,48,0.542823
0,nsga2,49,0.507229
0,nsga2,50,0.494791
0,nsga2,51,0.49422
0,nsga2,52,0.482792
0,nsga2,53,0.468851
0,nsga2,54,0.462782
0,nsga2,55,0.448823
0,nsga2,56,0.436847
0,nsga2,57,0.401931
0,nsga2,58,0.381929
0,nsga2,59,0.371319
0,nsga2,60,0.346611
0,nsga2,61,0.338825
0,nsga2,62,0.306766
0,nsga2,63,0.296169
0,nsga2,64,0.287121
0,nsga2,65,0.273765
0,nsga2,66,0.240018
0,nsga2,67,0.239996
0,nsga2,68,0.229035
0,nsga2,69,0.220994
0,nsga2,70,0.2197
0,nsga2,71,0.21438
0,nsga2,72,0.204426
0,nsga2,73,0.200861
0,nsga2,74,0.18121
0,nsga2,75,0.171754
0,nsga2,76,0.166093
0,nsga2,77,0.16055
0,nsga2,78,0.157156
0,nsga2,79,0.154514
0,nsga2,80,0.148666
0,nsga2,81,0.144136
0,nsga2,82,0.142144
0,nsga2,83,0.141012
0,nsga2,84,0.137255
0,nsga2,85,0.135825
0,nsga2,86,0.134802
0,nsga2,87,0.128012
0,nsga2,88,0.122176
0,nsga2,89,0.118435
0,nsga2,90,0.11319
0,nsga2,91,0.112633
0,nsga2,92,0.110136
0,nsga2,93,0.107757
0,nsga2,94,0.104522
0,nsga2,95,0.10145
0,nsga2,96,0.097827
0,nsga2,97,0.0954721
0,nsga2,98,0.0946827
0,nsga2,99,0.0935588
0,nsga2,100,0.0909415
0,nsga2,101,0.0896928
0,nsga2,102,0.0885997
0,nsga2,103,0.0846206
0,nsga2,104,0.0841579
0,nsga2,105,0.0825536
0,nsga2,106,0.0793163
0,nsga2,107,0.0783604
0,nsga2,108,0.0763172
0,nsga2,109,0.074346
0,nsga2,110,0.0727148
0,nsga2,111,0.0696761
0,nsga2,112,0.0689263
0,nsga2,113,0.0665822
0,nsga2,114,0.0655623
0,nsga2,115,0.0617478
0,nsga2,116,0.0604863
0,nsga2,117,0.0586182
0,nsga2,118,0.0571957
0,nsga2,119,0.0558742
0,nsga2,120,0.053746
0,nsga2,121,0.0534689
0,nsga2,122,0.0530881
0,nsga2,123,0.0514401
0,nsga2,124,0.0493409
0,nsga2,125,0.0486127
0,nsga2,126,0.0474972
0,nsga2,127,0.047632
0,nsga2,128,0.0465763
0,nsga2,129,0.0455148
0,nsga2,130,0.0450935
0,nsga2,131,0.0449066
0,nsga2,132,0.0447217
0,nsga2,133,0.0434937
0,nsga2,134,0.0435549
0,nsga2,135,0.0427142
0,nsga2,136,0.0422142
0,nsga2,137,0.0423756
0,nsga2,138,0.0416076
0,nsga2,139,0.0410751
0,nsga2,140,0.0408226
0,nsga2,141,0.0396817
0,nsga2,142,0.0382394
0,nsga2,143,0.0372863
0,nsga2,144,0.0360045
0,nsga2,145,0.0358469
0,nsga2,146,0.035177
0,nsga2,147,0.0346438
0,nsga2,148,0.0339842
0,nsga2,149,0.0333188
0,nsga2,150,0.0325419
0,nsga2,151,0.0323503
0,nsga2,152,0.0322537
0,nsga2,153,0.0316031
0,nsga2,154,0.0313319
0,nsga2,155,0.0309854
0,nsga2,156,0.0300855
0,nsga2,157,0.0297746
0,nsga2,158,0.0294513
0,nsga2,159,0.0290986
0,nsga2,160,0.028519
0,nsga2,161,0.0273819
0,nsga2,162,0.0259762
0,nsga2,163,0.0248088
0,nsga2,164,0.02395
0,nsga2,165,0.0230315
0,nsga2,166,0.02224
0,nsga2,167,0.0212782
0,nsga2,168,0.0210329
0,nsga2,169,0.0209984
0,nsga2,170,0.0205612
0,nsga2,171,0.0203051
0,nsga2,172,0.0201637
0,nsga2,173,0.0199391
0,nsga2,174,0.0194387
0,nsga2,175,0.0194397
0,nsga2,176,0.0194036
0,nsga2,177,0.0188587
0,nsga2,178,0.01829
0,nsga2,179,0.0182489
0,nsga2,180,0.0183277
0,nsga2,181,0.0175161
0,nsga2,182,0.0174808
0,nsga2,183,0.0168301
0,nsga2,184,0.0165513
0,nsga2,185,0.0167055
0,nsga2,186,0.0166353
0,nsga2,187,0.0165635
0,nsga2,188,0.0161961
0,nsga2,189,0.0168046
0,nsga2,190,0.0163697
0,nsga2,191,0.0159215
0,nsga2,192,0.0155895
0,nsga2,193,0.0156257
0,nsga2,194,0.0152029
0,nsga2,195,0.0148455
0,nsga2,196,0.0150249
0,nsga2,197,0.0143075
0,nsga2,198,0.0142009
0,nsga2,199,0.0143838
0,nsga2,200,0.0136054
0,nsga2,201,0.0136308
0,nsga2,202,0.0134718
0,nsga2,203,0.0134879
0,nsga2,204,0.0132266
0,nsga2,205,0.0130232
0,nsga2,206,0.0131064
0,nsga2,207,0.0134248
0,nsga2,208,0.013044
0,nsga2,209,0.0126682
0,nsga2,210,0.0125983
0,nsga2,211,0.0128251
0,nsga2,212,0.0119909
0,nsga2,213,0.0128514
0,nsga2,214,0.0123488
0,nsga2,215,0.0119486
0,nsga2,216,0.0115296
0,nsga2,217,0.0125168
0,nsga2,218,0.0118759
0,nsga2,219,0.0122907
0,nsga2,220,0.012241
0,nsga2,221,0.0123829
0,nsga2,222,0.0118609
0,nsga2,223,0.0127749
0,nsga2,224,0.0116266
0,nsga2,225,0.0116025
0,nsga2,226,0.011278
0,nsga2,227,0.0117419
0,nsga2,228,0.0117245
0,nsga2,229,0.0113358
0,nsga2,230,0.0122222
0,nsga2,231,0.0112469
0,nsga2,232,0.0109795
0,nsga2,233,0.0105492
0,nsga2,234,0.0108211
0,nsga2,235,0.0110452
0,nsga2,236,0.0111516
0,nsga2,237,0.0108496
0,nsga2,238,0.0111808
0,nsga2,239,0.0114399
0,nsga2,240,0.0109563
0,nsga2,241,0.0104678
0,nsga2,242,0.0111704
0,nsga2,243,0.0107368
0,nsga2,244,0.0103799
0,nsga2,245,0.010572
0,nsga2,246,0.0105514
0,nsga2,247,0.0106094
0,nsga2,248,0.0101958
0,nsga2,249,0.0102353
0,nsga2,250,0.0120969
0,nsga2,251,0.0108341
0,nsga2,252,0.0105034
0,nsga2,253,0.0102462
0,nsga2,254,0.0101291
0,nsga2,255,0.00979594
0,nsga2,256,0.00985199
0,nsga2,257,0.0100424
0,nsga2,258,0.0101975
0,nsga2,259,0.0104745
0,nsga2,260,0.0104836
0,nsga2,261,0.00986464
0,nsga2,262,0.0103163
0,nsga2,263,0.0102022
0,nsga2,264,0.00972616
0,nsga2,265,0.0105304
0,nsga2,266,0.00998655
0,nsga2,267,0.0103692
0,nsga2,268,0.00999887
0,nsga2,269,0.0101995
0,nsga2,270,0.00990877
0,nsga2,271,0.01047
0,nsga2,272,0.0103321
0,nsga2,273,0.0101199
0,nsga2,274,0.0107792
0,nsga2,275,0.00997273
0,nsga2,276,0.00953588
0,nsga2,277,0.00953669
0,nsga2,278,0.0111804
0,nsga2,279,0.00970257
0,nsga2,280,0.00931062
0,nsga2,281,0.00986418
0,nsga2,282,0.0100353
0,nsga2,283,0.0101237
0,nsga2,284,0.0098837
0,nsga2,285,0.0105361
0,nsga2,286,0.0102484
0,nsga2,287,0.00985254
0,nsga2,288,0.0101751
0,nsga2,289,0.0099396
0,nsga2,290,0.00941392
0,nsga2,291,0.0100522
0,nsga2,292,0.0107495
0,nsga2,293,0.00956966
0,nsga2,294,0.0100201
0,nsga2,295,0.00912908
0,nsga2,296,0.00824992
0,nsga2,297,0.00928986
0,nsga2,298,0.00900376
0,nsga2,299,0.00888201
0,nsga2,300,0.00906649
