kappa,iter,residual
200,161,4.585114e-03
200,162,4.535004e-03
200,163,4.485441e-03
200,164,4.436420e-03
200,165,4.387935e-03
200,166,4.339979e-03
200,167,4.292548e-03
200,168,4.245635e-03
200,169,4.199235e-03
200,170,4.153342e-03
200,171,4.107950e-03
200,172,4.063055e-03
200,173,4.018650e-03
200,174,3.974730e-03
200,175,3.931291e-03
200,176,3.888326e-03
200,177,3.845831e-03
200,178,3.803800e-03
200,179,3.762228e-03
200,180,3.721111e-03
200,181,3.680443e-03
200,182,3.640220e-03
200,183,3.600436e-03
200,184,3.561087e-03
200,185,3.522168e-03
200,186,3.483675e-03
200,187,3.445602e-03
200,188,3.407945e-03
200,189,3.370700e-03
200,190,3.333862e-03
200,191,3.297426e-03
200,192,3.261389e-03
200,193,3.225746e-03
200,194,3.190492e-03
200,195,3.155623e-03
200,196,3.121135e-03
200,197,3.087025e-03
200,198,3.053287e-03
200,199,3.019918e-03
200,200,2.986913e-03
200,201,2.954269e-03
200,202,2.921982e-03
200,203,2.890048e-03
200,204,2.858463e-03
200,205,2.827223e-03
200,206,2.796325e-03
