run,step,t,h,err_est,err_true
17,3,0.35,0.3687679,1.6119516e-05,4.7161207e-06
17,4,0.7187679,0.34809558,1.4400886e-05,3.6252032e-06
17,5,1.0668635,0.31660219,9.1659993e-06,1.9611358e-06
17,6,1.3834657,0.33862892,1.1788486e-05,2.4968597e-06
17,7,1.7220946,0.36083704,1.2968026e-05,3.7045527e-06
17,8,2.0829316,0.32941837,1.0161349e-05,2.5249598e-06
17,9,2.41235,0.32904632,1.1119584e-05,2.5803383e-06
17,10,2.7413963,0.32394173,1.0110558e-05,2.1640603e-06
17,11,3.065338,0.3459354,1.240509e-05,2.5906587e-06
17,12,3.4112734,0.36892293,1.5172278e-05,4.5508347e-06
17,13,3.7801964,0.31466017,8.5112453e-06,1.9636183e-06
17,14,4.0948565,0.31445376,8.9167039e-06,1.9371122e-06
17,15,4.4093103,0.3307358,1.0937508e-05,2.3350765e-06
17,16,4.7400461,0.25995391,2.6988891e-06,4.6063131e-07
18,0,0,0.05,5.0334237e-10,1.7686519e-11
18,1,0.05,0.1,1.5984581e-08,1.1107972e-09
18,2,0.15,0.2,5.0267546e-07,6.759688e-08
18,3,0.35,0.3656501,9.7411363e-06,2.1668385e-06
18,4,0.7156501,0.38260885,1.0145126e-05,3.2071537e-06
18,5,1.098259,0.34372724,7.5537943e-06,1.917028e-06
18,6,1.4419862,0.3435002,7.993127e-06,1.8879658e-06
18,7,1.7854864,0.35468756,8.8479752e-06,1.9917964e-06
18,8,2.140174,0.3739529,9.454528e-06,2.5324468e-06
18,9,2.5141269,0.35879556,8.7138632e-06,2.3988081e-06
18,10,2.8729224,0.35835606,9.7824361e-06,2.4799553e-06
18,11,3.2312785,0.34848787,8.3893333e-06,1.9161229e-06
18,12,3.5797664,0.3665599,9.3837218e-06,2.0312251e-06
18,13,3.9463263,0.38866898,1.1805171e-05,3.6892092e-06
18,14,4.3349952,0.37306246,1.1694614e-05,3.161685e-06
18,15,4.7080577,0.2919423,3.4995354e-06,6.9041971e-07
19,0,0,0.05,5.7404292e-10,2.0600188e-11
19,1,0.05,0.1,1.8639093e-08,1.3506651e-09
19,2,0.15,0.2,6.1264346e-07,8.9595785e-08
19,3,0.35,0.33754295,8.7870768e-06,2.1237411e-06
19,4,0.68754295,0.33436898,8.4544735e-06,1.8909202e-06
19,5,1.0219119,0.35371437,1.0094354e-05,2.1866193e-06
19,6,1.3756263,0.37509811,1.1084328e-05,3.4455465e-06
19,7,1.7507244,0.33576365,8.1496022e-06,2.0292299e-06
19,8,2.0864881,0.33550528,8.6854743e-06,2.0185463e-06
19,9,2.4219933,0.34381587,9.3738149e-06,2.073313e-06
19,10,2.7658092,0.36387287,1.047061e-05,2.5154849e-06
19,11,3.1296821,0.38776833,1.5072842e-05,4.5911145e-06
19,12,3.5174504,0.35583462,1.149156e-05,2.9130301e-06
19,13,3.873285,0.33716121,8.7514225e-06,1.9540597e-06
19,14,4.2104462,0.35643224,1.0233282e-05,2.1988146e-06
19,15,4.5668785,0.37837267,1.2091818e-05,3.7330593e-06
19,16,4.9452511,0.054748853,9.7650424e-10,3.8098857e-11
20,0,0,0.05,6.1413674e-10,2.2329472e-11
20,1,0.05,0.1,2.0217532e-08,1.5016635e-09
20,2,0.15,0.2,6.8203392e-07,1.0430396e-07
20,3,0.35,0.35824832,1.3880183e-05,3.8193345e-06
20,4,0.70824832,0.33811488,1.1762979e-05,2.8173576e-06
20,5,1.0463632,0.32596945,9.6922137e-06,2.092817e-06
