algo,func,dim,ckpt_evals,n_runs,mean_best_f,median_best_f,mean_evals_actual
PSO,rastrigin,5,100,60,23.2206,23.4486,100.0
PSO,rastrigin,5,200,60,17.2737,16.5818,200.0
PSO,rastrigin,5,300,60,11.5715,11.279,300.0
PSO,rastrigin,5,400,60,8.22736,7.21564,400.0
PSO,rastrigin,5,500,60,6.2598,6.01178,500.0
PSO,rastrigin,5,600,60,6.03534,5.78191,600.0
PSO,rastrigin,5,700,60,4.75696,4.10354,700.0
PSO,rastrigin,5,800,60,4.22142,3.98363,800.0
PSO,rastrigin,5,900,60,4.50017,3.99361,900.0
PSO,griewank,5,100,60,0.240252,0.228449,99.3
PSO,griewank,5,200,60,0.0678671,0.0468764,180.7
PSO,griewank,5,300,60,0.0489976,0.0390212,222.7
PSO,griewank,5,400,60,0.0470623,0.0390537,247.7
PSO,griewank,5,500,60,0.0462997,0.0366648,260.7
PSO,griewank,5,600,60,0.0466387,0.0393998,276.7
PSO,griewank,5,700,60,0.0484001,0.0427351,293.0
PSO,griewank,5,800,60,0.0471699,0.0398735,308.0
PSO,griewank,5,900,60,0.0476357,0.0401358,317.3
PSO,ackley,5,100,60,2.63232,2.57995,100.0
PSO,ackley,5,200,60,1.38004,1.43032,200.0
PSO,ackley,5,300,60,0.366295,0.337381,300.0
PSO,ackley,5,400,60,0.137373,0.11844,399.7
PSO,ackley,5,500,60,0.0749425,0.0455253,481.7
PSO,ackley,5,600,60,0.0388766,0.0413822,531.0
PSO,ackley,5,700,60,0.0665299,0.0431628,541.7
PSO,ackley,5,800,60,0.0358912,0.0374635,566.7
PSO,ackley,5,900,60,0.0402003,0.0412395,586.3
CMAES,sphere,5,100,60,0.43962,0.336088,100.0
CMAES,sphere,5,200,60,0.0309727,0.0210385,200.0
CMAES,sphere,5,300,60,0.0015401,0.00108212,300.0
CMAES,sphere,5,400,60,0.000117374,7.65583e-05,377.7
CMAES,sphere,5,500,60,6.19245e-05,6.28435e-05,383.9
CMAES,sphere,5,600,60,6.19245e-05,6.28435e-05,383.9
CMAES,sphere,5,700,60,6.19245e-05,6.28435e-05,383.9
CMAES,sphere,5,800,60,6.19245e-05,6.28435e-05,383.9
CMAES,sphere,5,900,60,6.19245e-05,6.28435e-05,383.9
CMAES,rosenbrock,5,100,60,15.8527,12.0073,100.0
CMAES,rosenbrock,5,200,60,4.38986,4.28969,200.0
CMAES,rosenbrock,5,300,60,3.29322,3.35095,300.0
CMAES,rosenbrock,5,400,60,2.8427,2.88848,400.0
CMAES,rosenbrock,5,500,60,2.3084,2.22238,500.0
CMAES,rosenbrock,5,600,60,1.87528,1.62594,600.0
CMAES,rosenbrock,5,700,60,1.49158,1.10782,700.0
CMAES,rosenbrock,5,800,60,1.18989,0.843017,798.9
CMAES,rosenbrock,5,900,60,0.934537,0.638331,897.3
CMAES,rastrigin,5,100,60,23.8976,24.6728,100.0
CMAES,rastrigin,5,200,60,18.0793,17.5917,200.0
CMAES,rastrigin,5,300,60,14.2642,14.6552,300.0
CMAES,rastrigin,5,400,60,11.4324,11.7671,400.0
CMAES,rastrigin,5,500,60,8.67621,8.34337,500.0
CMAES,rastrigin,5,600,60,7.27912,7.00956,600.0
CMAES,rastrigin,5,700,60,6.5866,6.86657,700.0
CMAES,rastrigin,5,800,60,6.07205,5.98131,800.0
CMAES,rastrigin,5,900,60,6.02443,5.97091,900.0
CMAES,griewank,5,100,60,0.364056,0.369417,99.1
CMAES,griewank,5,200,60,0.168036,0.095609,188.4
CMAES,griewank,5,300,60,0.0798083,0.0489206,238.1
CMAES,griewank,5,400,60,0.0578074,0.0471987,266.7
CMAES,griewank,5,500,60,0.0552998,0.0471987,287.5
CMAES,griewank,5,600,60,0.0547594,0.0471987,307.5
CMAES,griewank,5,700,60,0.0545903,0.0471987,326.7
CMAES,griewank,5,800,60,0.05457,0.0471987,345.1
CMAES,griewank,5,900,60,0.0545655,0.0471987,363.4
CMAES,ackley,5,100,60,2.59356,2.65833,100.0
CMAES,ackley,5,200,60,0.883745,0.83974,200.0
CMAES,ackley,5,300,60,0.197616,0.107591,298.3
CMAES,ackley,5,400,60,0.0993934,0.0411855,349.2
CMAES,ackley,5,500,60,0.0924367,0.0402411,355.8
CMAES,ackley,5,600,60,0.0924357,0.0402411,359.2
