rep,th0,se0,hit0,th1,se1,hit1,hit_all
376,2.174896,0.040570,0,0.853058,0.024373,0,0
377,2.038054,0.049594,1,0.823854,0.030802,1,1
378,1.957694,0.044555,1,0.738292,0.026175,0,0
379,1.919642,0.050966,1,0.743068,0.030703,1,1
380,2.029916,0.046586,1,0.837522,0.029487,1,1
381,2.006450,0.057096,1,0.838796,0.036612,1,1
382,1.961143,0.053676,1,0.787245,0.033270,1,1
383,1.958945,0.043097,1,0.778500,0.026483,1,1
384,2.017668,0.047967,1,0.809540,0.029623,1,1
385,1.921565,0.048592,1,0.734736,0.028966,0,0
386,1.977490,0.049176,1,0.781385,0.030032,1,1
387,1.984278,0.051809,1,0.787571,0.031750,1,1
388,1.959389,0.057217,1,0.812690,0.036513,1,1
389,1.936411,0.048830,1,0.756073,0.029596,1,1
390,1.899946,0.049160,1,0.776433,0.031074,1,1
391,1.938977,0.053078,1,0.807323,0.034026,1,1
392,2.013389,0.049339,1,0.840707,0.031594,1,1
393,2.123734,0.051632,0,0.868762,0.032306,0,0
394,1.934482,0.043781,1,0.806233,0.028097,1,1
395,2.001593,0.042511,1,0.819641,0.026760,1,1
396,2.033617,0.042778,1,0.830073,0.026809,1,1
397,1.962295,0.045506,1,0.779103,0.027934,1,1
398,1.985293,0.046490,1,0.777823,0.028167,1,1
399,2.017750,0.052625,1,0.847138,0.033861,1,1
400,1.980318,0.052051,1,0.784828,0.031864,1,1
401,2.092168,0.049999,1,0.821568,0.030175,1,1
402,2.109052,0.054285,1,0.867433,0.034154,1,1
403,2.079219,0.049156,1,0.856864,0.031017,1,1
404,2.013531,0.047141,1,0.805415,0.029040,1,1
405,1.961236,0.040659,1,0.762635,0.024513,1,1
406,2.046465,0.048287,1,0.833011,0.030167,1,1
407,2.030964,0.048174,1,0.844381,0.030704,1,1
408,2.004831,0.036829,1,0.787864,0.022346,1,1
409,1.958297,0.040061,1,0.778638,0.024629,1,1
410,1.984322,0.043226,1,0.786040,0.026444,1,1
411,2.056761,0.051771,1,0.815023,0.031555,1,1
412,2.007123,0.036168,1,0.780520,0.021740,1,1
413,1.974183,0.045224,1,0.807617,0.028483,1,1
414,2.030092,0.039451,1,0.837555,0.024969,1,1
415,1.973633,0.048949,1,0.802316,0.030658,1,1
416,1.983191,0.047430,1,0.766197,0.028393,1,1
417,1.947039,0.040266,1,0.770442,0.024670,1,1
418,2.016041,0.042056,1,0.809871,0.026003,1,1
419,2.002468,0.056675,1,0.797138,0.034785,1,1
420,1.977615,0.039829,1,0.767626,0.023948,1,1
